customer_id,"first","last","email","address","city","state","postal","phone","alt_phone","notes",preferred_staff,discount_type,"referral_source",create_admin,update_admin,"create_ts","update_ts",is_active
11,"Minna","Amigon","minna_amigon@yahoo.com","2371 Jerrold Ave","Kulpsville","PA","19443","215-874-1229","215-422-8694",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
12,"Abel","Maclead","amaclead@gmail.com","37275 St  Rt 17m M","Middle Island","NY","11953","631-335-3414","631-677-3675",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
13,"Kiley","Caldarera","kiley.caldarera@aol.com","25 E 75th St Apt 69","Los Angeles","CA","90034","310-498-5651","310-254-3084",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
14,"Graciela","Ruta","gruta@cox.net","98 Connecticut Ave Nw","Chagrin Falls","OH","44023","440-780-8425","440-579-7763",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
15,"Cammy","Albares","calbares@gmail.com","56 E Morehead St","Laredo","TX","78045","956-537-6195","956-841-7216",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
16,"Mattie","Poquette","mattie@aol.com","73 State Road 434 E","Phoenix","AZ","85013","602-277-4385","602-953-6360",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
17,"Meaghan","Garufi","meaghan@hotmail.com","69734 E Carrillo St","Mc Minnville","TN","37110","931-313-9635","931-235-7959",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
18,"Gladys","Rim","gladys.rim@rim.org","322 New Horizon Blvd","Milwaukee","WI","53207","414-661-9598","414-377-2880",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
19,"Yuki","Whobrey","yuki_whobrey@aol.com","1 State Route 27","Taylor","MI","48180","313-288-7937","313-341-4470",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
20,"Fletcher","Flosi","fletcher.flosi@yahoo.com","394 Manchester Blvd","Rockford","IL","61109","815-828-2147","815-426-5657",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
21,"Bette","Nicka","bette_nicka@cox.net","6 S 33rd St","Aston","PA","19014","610-545-3615","610-492-4643",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
22,"Veronika","Inouye","vinouye@aol.com","6 Greenleaf Ave","San Jose","CA","95111","408-540-1785","408-813-4592",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
23,"Willard","Kolmetz","willard@hotmail.com","618 W Yakima Ave","Irving","TX","75062","972-303-9197","972-896-4882",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
24,"Maryann","Royster","mroyster@royster.com","74 S Westgate St","Albany","NY","12204","518-966-7987","518-448-8982",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
25,"Alisha","Slusarski","alisha@slusarski.com","3273 State St","Middlesex","NJ","8846","732-658-3154","732-635-3453",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
26,"Allene","Iturbide","allene_iturbide@cox.net","1 Central Ave","Stevens Point","WI","54481","715-662-6764","715-530-9863",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
27,"Chanel","Caudy","chanel.caudy@caudy.org","86 Nw 66th St Apt 8673","Shawnee","KS","66218","913-388-2079","913-899-1103",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
28,"Ezekiel","Chui","ezekiel@chui.com","2 Cedar Ave Apt 84","Easton","MD","21601","410-669-1642","410-235-8738",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
29,"Willow","Kusko","wkusko@yahoo.com","90991 Thorburn Ave","New York","NY","10011","212-582-4976","212-934-5167",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
30,"Bernardo","Figeroa","bfigeroa@aol.com","386 9th Ave N","Conroe","TX","77301","936-336-3951","936-597-3614",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
31,"Ammie","Corrio","ammie@corrio.com","74874 Atlantic Ave","Columbus","OH","43215","614-801-9788","614-648-3265",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
32,"Francine","Vocelka","francine_vocelka@vocelka.com","366 South Dr","Las Cruces","NM","88011","505-977-3911","505-335-5293",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
33,"Ernie","Stenseth","ernie_stenseth@aol.com","45 E Liberty St","Ridgefield Park","NJ","7660","201-709-6245","201-387-9093",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
34,"Albina","Glick","albina@glick.com","4 Ralph Ct","Dunellen","NJ","8812","732-924-7882","732-782-6701",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
35,"Alishia","Sergi","asergi@gmail.com","2742 Distribution Way","New York","NY","10025","212-860-1579","212-753-2740",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
36,"Solange","Shinko","solange@shinko.com","426 Wolf St","Metairie","LA","70002","504-979-9175","504-265-8174",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
37,"Jose","Stockham","jose@yahoo.com","128 Bransten Rd","New York","NY","10011","212-675-8570","212-569-4233",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
38,"Rozella","Ostrosky","rozella.ostrosky@ostrosky.com","17 Morena Blvd","Camarillo","CA","93012","805-832-6163","805-609-1531",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
39,"Valentine","Gillian","valentine_gillian@gmail.com","775 W 17th St","San Antonio","TX","78204","210-812-9597","210-300-6244",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
40,"Kati","Rulapaugh","kati.rulapaugh@hotmail.com","6980 Dorsett Rd","Abilene","KS","67410","785-463-7829","785-219-7724",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
41,"Youlanda","Schemmer","youlanda@aol.com","2881 Lewis Rd","Prineville","OR","97754","541-548-8197","541-993-2611",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
42,"Dyan","Oldroyd","doldroyd@aol.com","7219 Woodfield Rd","Overland Park","KS","66204","913-413-4604","913-645-8918",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
43,"Roxane","Campain","roxane@hotmail.com","1048 Main St","Fairbanks","AK","99708","907-231-4722","907-335-6568",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
44,"Lavera","Perin","lperin@perin.org","678 3rd Ave","Miami","FL","33196","305-606-7291","305-995-2078",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
45,"Erick","Ferencz","erick.ferencz@aol.com","20 S Babcock St","Fairbanks","AK","99712","907-741-1044","907-227-6777",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
46,"Fatima","Saylors","fsaylors@saylors.org","2 Lighthouse Ave","Hopkins","MN","55343","952-768-2416","952-479-2375",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
47,"Jina","Briddick","jina_briddick@briddick.com","38938 Park Blvd","Boston","MA","2128","617-399-5124","617-997-5771",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
48,"Kanisha","Waycott","kanisha_waycott@yahoo.com","5 Tomahawk Dr","Los Angeles","CA","90006","323-453-2780","323-315-7314",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
49,"Emerson","Bowley","emerson.bowley@bowley.org","762 S Main St","Madison","WI","53711","608-336-7444","608-658-7940",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
50,"Blair","Malet","bmalet@yahoo.com","209 Decker Dr","Philadelphia","PA","19132","215-907-9111","215-794-4519",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
51,"Brock","Bolognia","bbolognia@yahoo.com","4486 W O St Apt 1","New York","NY","10003","212-402-9216","212-617-5063",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
52,"Lorrie","Nestle","lnestle@hotmail.com","39 S 7th St","Tullahoma","TN","37388","931-875-6644","931-303-6041",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
53,"Sabra","Uyetake","sabra@uyetake.org","98839 Hawthorne Blvd Apt 6101","Columbia","SC","29201","803-925-5213","803-681-3678",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
54,"Marjory","Mastella","mmastella@mastella.com","71 San Mateo Ave","Wayne","PA","19087","610-814-5533","610-379-7125",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
55,"Karl","Klonowski","karl_klonowski@yahoo.com","76 Brooks St Apt 9","Flemington","NJ","8822","908-877-6135","908-470-4661",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
56,"Tonette","Wenner","twenner@aol.com","4545 Courthouse Rd","Westbury","NY","11590","516-968-6051","516-333-4861",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
57,"Amber","Monarrez","amber_monarrez@monarrez.org","14288 Foster Ave Apt 4121","Jenkintown","PA","19046","215-934-8655","215-329-6386",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
58,"Shenika","Seewald","shenika@gmail.com","4 Otis St","Van Nuys","CA","91405","818-423-4007","818-749-8650",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
59,"Delmy","Ahle","delmy.ahle@hotmail.com","65895 S 16th St","Providence","RI","2909","401-458-2547","401-559-8961",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
60,"Deeanna","Juhas","deeanna_juhas@gmail.com","14302 Pennsylvania Ave","Huntingdon Valley","PA","19006","215-211-9589","215-417-9563",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
61,"Blondell","Pugh","bpugh@aol.com","201 Hawk Ct","Providence","RI","2904","401-960-8259","401-300-8122",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
62,"Jamal","Vanausdal","jamal@vanausdal.org","53075 Sw 152nd Ter Apt 615","Monroe Township","NJ","8831","732-234-1546","732-904-2931",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
63,"Cecily","Hollack","cecily@hollack.org","59 N Groesbeck Hwy","Austin","TX","78731","512-486-3817","512-861-3814",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
64,"Carmelina","Lindall","carmelina_lindall@lindall.com","2664 Lewis Rd","Littleton","CO","80126","303-724-7371","303-874-5160",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
65,"Maurine","Yglesias","maurine_yglesias@yglesias.com","59 Shady Ln Apt 53","Milwaukee","WI","53214","414-748-1374","414-573-7719",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
66,"Tawna","Buvens","tawna@gmail.com","3305 Nabell Ave Apt 679","New York","NY","10009","212-674-9610","212-462-9157",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
67,"Penney","Weight","penney_weight@aol.com","18 Fountain St","Anchorage","AK","99515","907-797-9628","907-873-2882",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
68,"Elly","Morocco","elly_morocco@gmail.com","7 W 32nd St","Erie","PA","16502","814-393-5571","814-420-3553",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
69,"Ilene","Eroman","ilene.eroman@hotmail.com","2853 S Central Expy","Glen Burnie","MD","21061","410-914-9018","410-937-4543",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
70,"Vallie","Mondella","vmondella@mondella.com","74 W College St","Boise","ID","83707","208-862-5339","208-737-8439",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
71,"Kallie","Blackwood","kallie.blackwood@gmail.com","701 S Harrison Rd","San Francisco","CA","94104","415-315-2761","415-604-7609",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
72,"Johnetta","Abdallah","johnetta_abdallah@aol.com","1088 Pinehurst St","Chapel Hill","NC","27514","919-225-9345","919-715-3791",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
73,"Bobbye","Rhym","brhym@rhym.com","30 W 80th St Apt 1995","San Carlos","CA","94070","650-528-5783","650-811-9032",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
74,"Micaela","Rhymes","micaela_rhymes@gmail.com","20932 Hedley St","Concord","CA","94520","925-647-3298","925-522-7798",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
75,"Tamar","Hoogland","tamar@hotmail.com","2737 Pistorio Rd Apt 9230","London","OH","43140","740-343-8575","740-526-5410",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
76,"Moon","Parlato","moon@yahoo.com","74989 Brandon St","Wellsville","NY","14895","585-866-8313","585-498-4278",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
77,"Laurel","Reitler","laurel_reitler@reitler.com","6 Kains Ave","Baltimore","MD","21215","410-520-4832","410-957-6903",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
78,"Delisa","Crupi","delisa.crupi@crupi.com","47565 W Grand Ave","Newark","NJ","7105","973-354-2040","973-847-9611",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
79,"Viva","Toelkes","viva.toelkes@gmail.com","4284 Dorigo Ln","Chicago","IL","60647","773-446-5569","773-352-3437",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
80,"Elza","Lipke","elza@yahoo.com","6794 Lake Dr E","Newark","NJ","7104","973-927-3447","973-796-3667",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
81,"Devorah","Chickering","devorah@hotmail.com","31 Douglas Blvd Apt 950","Clovis","NM","88101","505-975-8559","505-950-1763",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
82,"Timothy","Mulqueen","timothy_mulqueen@mulqueen.org","44 W 4th St","Staten Island","NY","10309","718-332-6527","718-654-7063",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
83,"Arlette","Honeywell","ahoneywell@honeywell.com","11279 Loytan St","Jacksonville","FL","32254","904-775-4480","904-514-9918",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
84,"Dominque","Dickerson","dominque.dickerson@dickerson.org","69 Marquette Ave","Hayward","CA","94545","510-993-3758","510-901-7640",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
85,"Lettie","Isenhower","lettie_isenhower@yahoo.com","70 W Main St","Beachwood","OH","44122","216-657-7668","216-733-8494",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
86,"Myra","Munns","mmunns@cox.net","461 Prospect Pl Apt 316","Euless","TX","76040","817-914-7518","817-451-3518",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
87,"Stephaine","Barfield","stephaine@barfield.com","47154 Whipple Ave Nw","Gardena","CA","90247","310-774-7643","310-968-1219",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
88,"Lai","Gato","lai.gato@gato.org","37 Alabama Ave","Evanston","IL","60201","847-728-7286","847-957-4614",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
89,"Stephen","Emigh","stephen_emigh@hotmail.com","3777 E Richmond St Apt 900","Akron","OH","44302","330-537-5358","330-700-2312",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
90,"Tyra","Shields","tshields@gmail.com","3 Fort Worth Ave","Philadelphia","PA","19106","215-255-1641","215-228-8264",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
91,"Tammara","Wardrip","twardrip@cox.net","4800 Black Horse Pike","Burlingame","CA","94010","650-803-1936","650-216-5075",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
92,"Cory","Gibes","cory.gibes@gmail.com","83649 W Belmont Ave","San Gabriel","CA","91776","626-572-1096","626-696-2777",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
93,"Danica","Bruschke","danica_bruschke@gmail.com","840 15th Ave","Waco","TX","76708","254-782-8569","254-205-1422",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
94,"Wilda","Giguere","wilda@cox.net","1747 Calle Amanecer Apt 2","Anchorage","AK","99501","907-870-5536","907-914-9482",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
95,"Elvera","Benimadho","elvera.benimadho@cox.net","99385 Charity St Apt 840","San Jose","CA","95110","408-703-8505","408-440-8447",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
96,"Carma","Vanheusen","carma@cox.net","68556 Central Hwy","San Leandro","CA","94577","510-503-7169","510-452-4835",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
97,"Malinda","Hochard","malinda.hochard@yahoo.com","55 Riverside Ave","Indianapolis","IN","46202","317-722-5066","317-472-2412",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
98,"Natalie","Fern","natalie.fern@hotmail.com","7140 University Ave","Rock Springs","WY","82901","307-704-8713","307-279-3793",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
99,"Lisha","Centini","lisha@centini.org","64 5th Ave Apt 1153","Mc Lean","VA","22102","703-235-3937","703-475-7568",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
100,"Arlene","Klusman","arlene_klusman@gmail.com","3 Secor Rd","New Orleans","LA","70112","504-710-5840","504-946-1807",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
101,"Alease","Buemi","alease@buemi.com","4 Webbs Chapel Rd","Boulder","CO","80303","303-301-4946","303-521-9860",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
102,"Louisa","Cronauer","louisa@cronauer.com","524 Louisiana Ave Nw","San Leandro","CA","94577","510-828-7047","510-472-7758",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
103,"Angella","Cetta","angella.cetta@hotmail.com","185 Blackstone Bldge","Honolulu","HI","96817","808-892-7943","808-475-2310",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
104,"Cyndy","Goldammer","cgoldammer@cox.net","170 Wyoming Ave","Burnsville","MN","55337","952-334-9408","952-938-9457",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
105,"Rosio","Cork","rosio.cork@gmail.com","4 10th St W","High Point","NC","27263","336-243-5659","336-497-4407",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
106,"Celeste","Korando","ckorando@hotmail.com","7 W Pinhook Rd","Lynbrook","NY","11563","516-509-2347","516-365-7266",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
107,"Twana","Felger","twana.felger@felger.org","1 Commerce Way","Portland","OR","97224","503-939-3153","503-909-7167",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
108,"Estrella","Samu","estrella@aol.com","64 Lakeview Ave","Beloit","WI","53511","608-976-7199","608-942-8836",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
109,"Donte","Kines","dkines@hotmail.com","3 Aspen St","Worcester","MA","1602","508-429-8576","508-843-1426",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
110,"Tiffiny","Steffensmeier","tiffiny_steffensmeier@cox.net","32860 Sierra Rd","Miami","FL","33133","305-385-9695","305-304-6573",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
111,"Edna","Miceli","emiceli@miceli.org","555 Main St","Erie","PA","16502","814-460-2655","814-299-2877",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
112,"Sue","Kownacki","sue@aol.com","2 Se 3rd Ave","Mesquite","TX","75149","972-666-3413","972-742-4000",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
113,"Jesusa","Shin","jshin@shin.com","2239 Shawnee Mission Pky","Tullahoma","TN","37388","931-273-8709","931-739-1551",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
114,"Rolland","Francescon","rolland@cox.net","2726 Charcot Ave","Paterson","NJ","7501","973-649-2922","973-284-4048",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
115,"Pamella","Schmierer","pamella.schmierer@schmierer.org","5161 Dorsett Rd","Homestead","FL","33030","305-420-8970","305-575-8481",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
116,"Glory","Kulzer","gkulzer@kulzer.org","55892 Jacksonville Rd","Owings Mills","MD","21117","410-224-9462","410-916-8015",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
117,"Shawna","Palaspas","shawna_palaspas@palaspas.org","5 N Cleveland Massillon Rd","Thousand Oaks","CA","91362","805-275-3566","805-638-6617",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
118,"Brandon","Callaro","brandon_callaro@hotmail.com","7 Benton Dr","Honolulu","HI","96819","808-215-6832","808-240-5168",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
119,"Scarlet","Cartan","scarlet.cartan@yahoo.com","9390 S Howell Ave","Albany","GA","31701","229-735-3378","229-365-9658",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
120,"Oretha","Menter","oretha_menter@yahoo.com","8 County Center Dr Apt 647","Boston","MA","2210","617-418-5043","617-697-6024",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
121,"Ty","Smith","tsmith@aol.com","4646 Kaahumanu St","Hackensack","NJ","7601","201-672-1553","201-995-3149",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
122,"Xuan","Rochin","xuan@gmail.com","2 Monroe St","San Mateo","CA","94403","650-933-5072","650-247-2625",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
